foot,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,timestamp
0.0,127.0,129.0,128.0,110.0,100.0,100.0,126.0,125.0,128.0,127.0,127.0,97.0,107.0,109.0,120.0,120.0,0
1.0,127.0,129.0,128.0,110.0,100.0,100.0,126.0,125.0,128.0,127.0,127.0,97.0,107.0,109.0,120.0,120.0,0
0.0,127.02020202020202,129.0,128.010101010101,110.1919191919192,100.29292929292929,100.29292929292929,126.03030303030303,125.04040404040404,128.010101010101,127.02020202020202,127.02020202020202,97.32323232323232,107.22222222222223,109.20202020202021,120.0909090909091,120.0909090909091,1
1.0,125.72727272727273,127.70707070707071,126.71717171717172,108.8989898989899,99.0,99.0,124.73737373737374,123.74747474747474,126.71717171717172,125.72727272727273,125.72727272727273,96.03030303030303,105.92929292929293,107.9090909090909,118.79797979797979,118.79797979797979,1
0.0,127.04040404040404,129.0,128.02020202020202,110.38383838383838,100.58585858585859,100.58585858585859,126.06060606060606,125.08080808080808,128.02020202020202,127.04040404040404,127.04040404040404,97.64646464646465,107.44444444444444,109.4040404040404,120.18181818181819,120.18181818181819,2
1.0,124.45454545454545,126.41414141414141,125.43434343434343,107.79797979797979,98.0,98.0,123.47474747474747,122.4949494949495,125.43434343434343,124.45454545454545,124.45454545454545,95.06060606060606,104.85858585858585,106.81818181818181,117.5959595959596,117.5959595959596,2
0.0,127.06060606060606,129.0,128.03030303030303,110.57575757575758,100.87878787878788,100.87878787878788,126.0909090909091,125.12121212121212,128.03030303030303,127.06060606060606,127.06060606060606,97.96969696969697,107.66666666666667,109.60606060606061,120.27272727272727,120.27272727272727,3
1.0,123.18181818181819,125.12121212121212,124.15151515151516,106.6969696969697,97.0,97.0,122.21212121212122,121.24242424242425,124.15151515151516,123.18181818181819,123.18181818181819,94.0909090909091,103.78787878787878,105.72727272727273,116.39393939393939,116.39393939393939,3
0.0,127.08080808080808,129.0,128.04040404040404,110.76767676767676,101.17171717171718,101.17171717171718,126.12121212121212,125.16161616161617,128.04040404040404,127.08080808080808,127.08080808080808,98.29292929292929,107.88888888888889,109.8080808080808,120.36363636363636,120.36363636363636,4
1.0,121.9090909090909,123.82828282828282,122.86868686868686,105.5959595959596,96.0,96.0,120.94949494949495,119.98989898989899,122.86868686868686,121.9090909090909,121.9090909090909,93.12121212121212,102.71717171717172,104.63636363636364,115.1919191919192,115.1919191919192,4
0.0,127.1010101010101,129.0,128.05050505050505,110.95959595959596,101.46464646464646,101.46464646464646,126.15151515151516,125.20202020202021,128.05050505050505,127.1010101010101,127.1010101010101,98.61616161616162,108.11111111111111,110.01010101010101,120.45454545454545,120.45454545454545,5
1.0,120.63636363636364,122.53535353535354,121.58585858585859,104.4949494949495,95.0,95.0,119.68686868686869,118.73737373737373,121.58585858585859,120.63636363636364,120.63636363636364,92.15151515151516,101.64646464646465,103.54545454545455,113.98989898989899,113.98989898989899,5
0.0,127.12121212121212,129.0,128.06060606060606,111.15151515151516,101.75757575757575,101.75757575757575,126.18181818181819,125.24242424242425,128.06060606060606,127.12121212121212,127.12121212121212,98.93939393939394,108.33333333333333,110.21212121212122,120.54545454545455,120.54545454545455,6
1.0,119.36363636363636,121.24242424242425,120.3030303030303,103.39393939393939,94.0,94.0,118.42424242424242,117.48484848484848,120.3030303030303,119.36363636363636,119.36363636363636,91.18181818181819,100.57575757575758,102.45454545454545,112.78787878787878,112.78787878787878,6
0.0,127.14141414141415,129.0,128.07070707070707,111.34343434343434,102.05050505050505,102.05050505050505,126.21212121212122,125.28282828282828,128.07070707070707,127.14141414141415,127.14141414141415,99.26262626262627,108.55555555555556,110.41414141414141,120.63636363636364,120.63636363636364,7
1.0,118.0909090909091,119.94949494949495,119.02020202020202,102.29292929292929,93.0,93.0,117.16161616161617,116.23232323232324,119.02020202020202,118.0909090909091,118.0909090909091,90.21212121212122,99.5050505050505,101.36363636363636,111.58585858585859,111.58585858585859,7
